id;sequence;time_reached;latitude;longitude;result_course_id;skip_allowed;reached;borg_scale;created_by;created_date;last_modified_by;last_modified_date;force_skipped
16;3;2020-07-02T07:08:20.34;48.2043169;16.3196432;4;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
17;1;2020-07-02T07:04:16.263;48.2048698;16.3181864;4;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
18;2;2020-07-02T07:06:20.332;48.2032675;16.3183301;4;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
19;4;2020-07-02T07:10:19.272;48.2030904;16.3195698;4;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
20;4;2020-07-02T07:10:12.644;48.2030927;16.3195868;5;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
21;0;2020-07-02T06:57:43.361;48.2051167;16.3174603;5;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
22;5;2020-07-02T07:13:54.59;48.2047935;16.3171755;5;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
23;2;2020-07-02T07:06:13.443;48.2032629;16.3182969;5;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
24;3;2020-07-02T07:08:18.629;48.2043216;16.3196476;5;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
25;1;2020-07-02T07:04:12.525;48.2048977;16.3182041;5;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
26;0;2020-07-15T09:15:34.668;48.2051301;16.3173664;6;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
27;1;2020-07-15T09:16:51.505;48.2048333;16.3183821;6;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
28;4;2020-07-15T09:23:32.484;48.2046938;16.3171602;6;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
29;3;2020-07-15T09:20:43.479;48.2042891;16.3180257;6;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
30;2;2020-07-15T09:19:42.305;48.2037098;16.3183917;6;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
31;3;2020-07-15T09:21:02.557;48.2042884;16.3180128;7;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
32;1;2020-07-15T09:16:58.527;48.2048581;16.3184079;7;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
33;2;2020-07-15T09:19:39.55;48.2037242;16.3183657;7;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
34;0;2020-07-15T09:13:09.779;48.2052307;16.3175287;7;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
35;4;2020-07-15T09:23:34.787;48.20468;16.3171727;7;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
36;4;2020-07-15T09:24:34.536;48.20485610613548;16.317219215465926;8;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
37;3;2020-07-15T09:22:06.437;48.20427838900545;16.317824795261842;8;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
38;1;2020-07-15T09:17:17.663;48.20476220890038;16.318547243551233;8;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
39;2;2020-07-15T09:18:14.824;48.203685349898564;16.31833561034826;8;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
40;0;2020-07-15T09:15:25.073;48.20515023945299;16.317352595365257;8;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
41;1;2020-07-15T09:17:36.456;48.20476220890038;16.318547243551233;9;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
42;2;2020-07-15T09:19:58.225;48.203685349898564;16.31833561034826;9;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
43;0;2020-07-15T09:15:45.1;48.20515023945299;16.317352595365257;9;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
44;3;2020-07-15T09:22:22.14;48.20427838900545;16.317824795261842;9;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
45;4;2020-07-15T09:24:41.011;48.20485610613548;16.317219215465926;9;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
46;1;2020-08-05T11:30:51.871;48.2047659;16.318363;10;false;true;5;android;2020-08-05T11:34:46.194097;android;2020-08-05T11:34:46.194097;false
47;3;2020-08-05T11:33:42.768;48.2042946;16.3180215;10;false;true;5;android;2020-08-05T11:34:46.194097;android;2020-08-05T11:34:46.194097;false
48;4;2020-08-05T11:34:41.642;48.2046903;16.3171973;10;false;true;5;android;2020-08-05T11:34:46.194097;android;2020-08-05T11:34:46.194097;false
49;0;2020-08-05T11:29:38.286;48.2051845;16.3174084;10;false;true;5;android;2020-08-05T11:34:46.194097;android;2020-08-05T11:34:46.194097;false
50;2;2020-08-05T11:31:41.776;48.2037162;16.3183747;10;false;true;5;android;2020-08-05T11:34:46.194097;android;2020-08-05T11:34:46.194097;false
51;2;2020-08-05T11:32:41.768;48.2036919;16.3183935;11;false;true;5;android;2020-08-05T11:34:53.177107;android;2020-08-05T11:34:53.177107;false
52;0;2020-08-05T11:27:44.385;48.2051869;16.3174423;11;false;true;5;android;2020-08-05T11:34:53.177107;android;2020-08-05T11:34:53.177107;false
53;4;2020-08-05T11:34:54.767;48.2046968;16.3171391;11;false;true;5;android;2020-08-05T11:34:53.177107;android;2020-08-05T11:34:53.177107;false
54;3;2020-08-05T11:33:47.765;48.2042664;16.3180159;11;false;true;5;android;2020-08-05T11:34:53.177107;android;2020-08-05T11:34:53.177107;false
55;1;2020-08-05T11:31:06.774;48.2048712;16.3184427;11;false;true;5;android;2020-08-05T11:34:53.177107;android;2020-08-05T11:34:53.177107;false
56;0;2020-08-05T11:29:34.083;48.2052069;16.3174408;12;false;true;5;android;2020-08-05T11:34:54.219109;android;2020-08-05T11:34:54.219109;false
57;2;2020-08-05T11:32:23.941;48.2037122;16.3183892;12;false;true;5;android;2020-08-05T11:34:54.219109;android;2020-08-05T11:34:54.219109;false
58;4;2020-08-05T11:34:50.338;48.2046795;16.317174;12;false;true;5;android;2020-08-05T11:34:54.219109;android;2020-08-05T11:34:54.219109;false
59;1;2020-08-05T11:30:53.179;48.2048377;16.3183831;12;false;true;5;android;2020-08-05T11:34:54.229109;android;2020-08-05T11:34:54.229109;false
60;3;2020-08-05T11:33:45.07;48.2042496;16.3180152;12;false;true;5;android;2020-08-05T11:34:54.229109;android;2020-08-05T11:34:54.229109;false
61;4;2020-08-05T11:34:44.799;48.2047042;16.3172124;15;false;true;5;android;2020-08-05T11:50:44.057589;android;2020-08-05T11:50:44.057589;false
62;3;2020-08-05T11:33:45.863;48.2042794;16.3180257;15;false;true;5;android;2020-08-05T11:50:44.057589;android;2020-08-05T11:50:44.057589;false
63;1;2020-08-05T11:30:53.513;48.204834;16.3183985;15;false;true;5;android;2020-08-05T11:50:44.057589;android;2020-08-05T11:50:44.057589;false
64;2;2020-08-05T11:31:42.441;48.20372;16.318356;15;false;true;5;android;2020-08-05T11:50:44.057589;android;2020-08-05T11:50:44.057589;false
65;0;2020-08-05T11:29:39.041;48.2052181;16.3173068;15;false;true;5;android;2020-08-05T11:50:44.057589;android;2020-08-05T11:50:44.057589;false
66;1;2020-08-05T11:30:49.929;48.2048294;16.3183776;14;false;true;5;android;2020-08-05T11:51:44.587689;android;2020-08-05T11:51:44.587689;false
67;3;2020-08-05T11:33:43.141;48.2042613;16.3180249;14;false;true;5;android;2020-08-05T11:51:44.587689;android;2020-08-05T11:51:44.587689;false
68;4;2020-08-05T11:34:49.934;48.2046797;16.3171789;14;false;true;5;android;2020-08-05T11:51:44.587689;android;2020-08-05T11:51:44.587689;false
69;0;2020-08-05T11:29:36.782;48.205196;16.3174099;14;false;true;5;android;2020-08-05T11:51:44.587689;android;2020-08-05T11:51:44.587689;false
70;2;2020-08-05T11:31:41.207;48.2036911;16.318393;14;false;true;5;android;2020-08-05T11:51:44.587689;android;2020-08-05T11:51:44.587689;false
71;2;2020-08-05T11:31:39.925;48.2037096;16.3183746;13;false;true;5;android;2020-08-05T11:52:55.504806;android;2020-08-05T11:52:55.504806;false
72;4;2020-08-05T11:34:54.365;48.2047083;16.3170797;13;false;true;5;android;2020-08-05T11:52:55.504806;android;2020-08-05T11:52:55.504806;false
73;3;2020-08-05T11:33:41.394;48.2042244;16.318004;13;false;true;5;android;2020-08-05T11:52:55.504806;android;2020-08-05T11:52:55.504806;false
74;1;2020-08-05T11:30:52.409;48.2048629;16.3184236;13;false;true;5;android;2020-08-05T11:52:55.504806;android;2020-08-05T11:52:55.504806;false
75;0;2020-08-05T11:29:35.992;48.2051232;16.3173958;13;false;true;5;android;2020-08-05T11:52:55.504806;android;2020-08-05T11:52:55.504806;false
76;2;2020-08-11T06:44:07.979;48.2036533;16.318363;16;false;true;5;android;2020-08-11T06:46:28.82052;android;2020-08-11T06:46:28.82052;false
77;3;2020-08-11T06:45:16.975;48.204282;16.3180062;16;false;true;5;android;2020-08-11T06:46:28.82052;android;2020-08-11T06:46:28.82052;false
78;0;2020-08-11T06:41:05.297;48.2051756;16.3175544;16;false;true;5;android;2020-08-11T06:46:28.83052;android;2020-08-11T06:46:28.83052;false
79;4;2020-08-11T06:46:23.981;48.2046855;16.3171635;16;false;true;5;android;2020-08-11T06:46:28.83052;android;2020-08-11T06:46:28.83052;false
80;1;2020-08-11T06:42:12.979;48.2048534;16.3184002;16;false;true;5;android;2020-08-11T06:46:28.84052;android;2020-08-11T06:46:28.84052;false
81;4;2020-08-11T06:46:28.973;48.2046813;16.3171834;17;false;true;5;android;2020-08-11T06:46:35.129544;android;2020-08-11T06:46:35.129544;false
82;1;2020-08-11T06:42:13.966;48.2048581;16.3184124;17;false;true;5;android;2020-08-11T06:46:35.129544;android;2020-08-11T06:46:35.129544;false
83;0;2020-08-11T06:41:02.492;48.2051466;16.3173966;17;false;true;5;android;2020-08-11T06:46:35.129544;android;2020-08-11T06:46:35.129544;false
84;3;2020-08-11T06:45:15;48.2042748;16.3180218;17;false;true;5;android;2020-08-11T06:46:35.139544;android;2020-08-11T06:46:35.139544;false
85;2;2020-08-11T06:43:43.033;48.2037029;16.3183969;17;false;true;5;android;2020-08-11T06:46:35.139544;android;2020-08-11T06:46:35.139544;false
86;3;2020-08-11T06:45:22.529;48.2041792;16.3179534;18;false;true;5;android;2020-08-11T06:46:49.018573;android;2020-08-11T06:46:49.018573;false
87;4;2020-08-11T06:46:36.925;48.2046956;16.3171631;18;false;true;5;android;2020-08-11T06:46:49.018573;android;2020-08-11T06:46:49.018573;false
88;1;2020-08-11T06:42:15.139;48.2048567;16.3184075;18;false;true;5;android;2020-08-11T06:46:49.028573;android;2020-08-11T06:46:49.028573;false
89;2;2020-08-11T06:44:07.921;48.2036489;16.318298;18;false;true;5;android;2020-08-11T06:46:49.038573;android;2020-08-11T06:46:49.038573;false
90;0;2020-08-11T06:41:04.073;48.2051836;16.3173729;18;false;true;5;android;2020-08-11T06:46:49.038573;android;2020-08-11T06:46:49.038573;false
91;0;2020-08-11T06:41:04.001;48.2051644;16.3173811;19;false;true;5;android;2020-08-11T06:47:02.858609;android;2020-08-11T06:47:02.858609;false
92;2;2020-08-11T06:43:40.065;48.2037245;16.3183151;19;false;true;5;android;2020-08-11T06:47:02.858609;android;2020-08-11T06:47:02.858609;false
93;3;2020-08-11T06:45:11.684;48.2042659;16.3180229;19;false;true;5;android;2020-08-11T06:47:02.858609;android;2020-08-11T06:47:02.858609;false
94;4;2020-08-11T06:46:23.912;48.2046869;16.3171669;19;false;true;5;android;2020-08-11T06:47:02.868609;android;2020-08-11T06:47:02.868609;false
95;1;2020-08-11T06:42:12.967;48.204785;16.318378;19;false;true;5;android;2020-08-11T06:47:02.868609;android;2020-08-11T06:47:02.868609;false
96;0;2020-08-11T06:41:03.098;48.2051707;16.3174411;20;false;true;5;android;2020-08-11T06:47:07.58862;android;2020-08-11T06:47:07.58862;false
97;1;2020-08-11T06:42:14.496;48.2048687;16.3184348;20;false;true;5;android;2020-08-11T06:47:07.60862;android;2020-08-11T06:47:07.60862;false
98;4;2020-08-11T06:46:25.188;48.2046815;16.3171839;20;false;true;5;android;2020-08-11T06:47:07.60862;android;2020-08-11T06:47:07.60862;false
99;2;2020-08-11T06:43:44.115;48.2036872;16.3184005;20;false;true;5;android;2020-08-11T06:47:07.61862;android;2020-08-11T06:47:07.61862;false
100;3;2020-08-11T06:45:17.013;48.204281;16.3180141;20;false;true;5;android;2020-08-11T06:47:07.62862;android;2020-08-11T06:47:07.62862;false
101;0;2020-09-10T11:55:29.687;48.5061354;15.7497718;21;false;true;5;android;2020-09-10T12:28:24.599879;android;2020-09-10T12:28:24.599879;false
102;3;2020-09-10T12:02:47.638;48.5095142;15.7546236;21;false;true;5;android;2020-09-10T12:28:24.601217;android;2020-09-10T12:28:24.601217;false
103;6;2020-09-10T12:20:38.614;48.5087172;15.7469143;21;false;true;5;android;2020-09-10T12:28:24.602676;android;2020-09-10T12:28:24.602676;false
104;2;2020-09-10T12:01:15.72;48.5082126;15.7539023;21;false;true;5;android;2020-09-10T12:28:24.603632;android;2020-09-10T12:28:24.603632;false
105;5;2020-09-10T12:13:41.092;48.510564;15.7505546;21;false;true;5;android;2020-09-10T12:28:24.605078;android;2020-09-10T12:28:24.605078;false
106;1;2020-09-10T11:58:25.648;48.5064101;15.7531787;21;false;true;5;android;2020-09-10T12:28:24.606341;android;2020-09-10T12:28:24.606341;false
107;4;2020-09-10T12:06:48.068;48.5099434;15.7530936;21;false;true;5;android;2020-09-10T12:28:24.607361;android;2020-09-10T12:28:24.607361;false
108;2;2020-09-10T12:01:28.54;48.5084659;15.754067;27;false;true;5;android;2020-09-10T12:28:30.522563;android;2020-09-10T12:28:30.522563;false
109;4;2020-09-10T12:08:03.033;48.5099132;15.7528945;27;false;true;5;android;2020-09-10T12:28:30.523469;android;2020-09-10T12:28:30.523469;false
110;6;2020-09-10T12:21:47.086;48.508584;15.7465861;27;false;true;5;android;2020-09-10T12:28:30.524218;android;2020-09-10T12:28:30.524218;false
111;1;2020-09-10T11:59:11.999;48.5065897;15.7532992;27;false;true;5;android;2020-09-10T12:28:30.52521;android;2020-09-10T12:28:30.52521;false
112;0;2020-09-10T11:55:38.18;48.5061982;15.7498768;27;false;true;5;android;2020-09-10T12:28:30.526559;android;2020-09-10T12:28:30.526559;false
113;3;2020-09-10T12:03:58.174;48.5095855;15.754794;27;false;true;5;android;2020-09-10T12:28:30.528118;android;2020-09-10T12:28:30.528118;false
114;5;2020-09-10T12:14:00.098;48.5106962;15.75075;27;false;true;5;android;2020-09-10T12:28:30.528767;android;2020-09-10T12:28:30.528767;false
115;2;2020-09-10T12:01:28.54;48.5084659;15.754067;28;false;true;5;android;2020-09-10T12:28:32.942825;android;2020-09-10T12:28:32.942825;false
116;4;2020-09-10T12:08:03.033;48.5099132;15.7528945;28;false;true;5;android;2020-09-10T12:28:32.946386;android;2020-09-10T12:28:32.946386;false
117;6;2020-09-10T12:21:47.086;48.508584;15.7465861;28;false;true;5;android;2020-09-10T12:28:32.948146;android;2020-09-10T12:28:32.948146;false
118;1;2020-09-10T11:59:11.999;48.5065897;15.7532992;28;false;true;5;android;2020-09-10T12:28:32.950493;android;2020-09-10T12:28:32.950493;false
119;0;2020-09-10T11:55:38.18;48.5061982;15.7498768;28;false;true;5;android;2020-09-10T12:28:32.951893;android;2020-09-10T12:28:32.951893;false
120;3;2020-09-10T12:03:58.174;48.5095855;15.754794;28;false;true;5;android;2020-09-10T12:28:32.953239;android;2020-09-10T12:28:32.953239;false
121;5;2020-09-10T12:14:00.098;48.5106962;15.75075;28;false;true;5;android;2020-09-10T12:28:32.95445;android;2020-09-10T12:28:32.95445;false
122;2;2020-09-10T12:01:28.54;48.5084659;15.754067;29;false;true;5;android;2020-09-10T12:28:35.861163;android;2020-09-10T12:28:35.861163;false
123;4;2020-09-10T12:08:03.033;48.5099132;15.7528945;29;false;true;5;android;2020-09-10T12:28:35.862345;android;2020-09-10T12:28:35.862345;false
124;6;2020-09-10T12:21:47.086;48.508584;15.7465861;29;false;true;5;android;2020-09-10T12:28:35.864641;android;2020-09-10T12:28:35.864641;false
125;1;2020-09-10T11:59:11.999;48.5065897;15.7532992;29;false;true;5;android;2020-09-10T12:28:35.865845;android;2020-09-10T12:28:35.865845;false
126;0;2020-09-10T11:55:38.18;48.5061982;15.7498768;29;false;true;5;android;2020-09-10T12:28:35.867275;android;2020-09-10T12:28:35.867275;false
127;3;2020-09-10T12:03:58.174;48.5095855;15.754794;29;false;true;5;android;2020-09-10T12:28:35.868916;android;2020-09-10T12:28:35.868916;false
128;5;2020-09-10T12:14:00.098;48.5106962;15.75075;29;false;true;5;android;2020-09-10T12:28:35.870002;android;2020-09-10T12:28:35.870002;false
129;0;2020-09-10T11:55:29.687;48.5061354;15.7497718;22;false;true;5;android;2020-09-10T12:28:36.957444;android;2020-09-10T12:28:36.957444;false
130;3;2020-09-10T12:02:47.638;48.5095142;15.7546236;22;false;true;5;android;2020-09-10T12:28:36.958059;android;2020-09-10T12:28:36.958059;false
131;6;2020-09-10T12:20:38.614;48.5087172;15.7469143;22;false;true;5;android;2020-09-10T12:28:36.958945;android;2020-09-10T12:28:36.958945;false
132;2;2020-09-10T12:01:15.72;48.5082126;15.7539023;22;false;true;5;android;2020-09-10T12:28:36.959738;android;2020-09-10T12:28:36.959738;false
133;5;2020-09-10T12:13:41.092;48.510564;15.7505546;22;false;true;5;android;2020-09-10T12:28:36.960533;android;2020-09-10T12:28:36.960533;false
134;1;2020-09-10T11:58:25.648;48.5064101;15.7531787;22;false;true;5;android;2020-09-10T12:28:36.961429;android;2020-09-10T12:28:36.961429;false
135;4;2020-09-10T12:06:48.068;48.5099434;15.7530936;22;false;true;5;android;2020-09-10T12:28:36.962192;android;2020-09-10T12:28:36.962192;false
136;0;2020-09-10T11:55:29.687;48.5061354;15.7497718;23;false;true;5;android;2020-09-10T12:28:47.561649;android;2020-09-10T12:28:47.561649;false
137;3;2020-09-10T12:02:47.638;48.5095142;15.7546236;23;false;true;5;android;2020-09-10T12:28:47.562563;android;2020-09-10T12:28:47.562563;false
138;6;2020-09-10T12:20:38.614;48.5087172;15.7469143;23;false;true;5;android;2020-09-10T12:28:47.563519;android;2020-09-10T12:28:47.563519;false
139;2;2020-09-10T12:01:15.72;48.5082126;15.7539023;23;false;true;5;android;2020-09-10T12:28:47.564647;android;2020-09-10T12:28:47.564647;false
140;5;2020-09-10T12:13:41.092;48.510564;15.7505546;23;false;true;5;android;2020-09-10T12:28:47.565885;android;2020-09-10T12:28:47.565885;false
141;1;2020-09-10T11:58:25.648;48.5064101;15.7531787;23;false;true;5;android;2020-09-10T12:28:47.566448;android;2020-09-10T12:28:47.566448;false
142;4;2020-09-10T12:06:48.068;48.5099434;15.7530936;23;false;true;5;android;2020-09-10T12:28:47.567059;android;2020-09-10T12:28:47.567059;false
143;3;2020-09-10T12:02:54.039;48.5095404;15.7547223;24;false;true;5;android;2020-09-10T12:29:22.97424;android;2020-09-10T12:29:22.97424;false
144;2;2020-09-10T12:01:17.043;48.5082044;15.7539408;24;false;true;5;android;2020-09-10T12:29:22.975473;android;2020-09-10T12:29:22.975473;false
145;5;2020-09-10T12:14:01.014;48.5107455;15.7507807;24;false;true;5;android;2020-09-10T12:29:22.977894;android;2020-09-10T12:29:22.977894;false
146;0;2020-09-10T11:55:30.711;48.5062285;15.749761;24;false;true;5;android;2020-09-10T12:29:22.980111;android;2020-09-10T12:29:22.980111;false
147;4;2020-09-10T12:06:43.404;48.5099839;15.7532068;24;false;true;5;android;2020-09-10T12:29:22.981273;android;2020-09-10T12:29:22.981273;false
148;1;2020-09-10T11:58:31.019;48.5064032;15.7531819;24;false;true;5;android;2020-09-10T12:29:22.982181;android;2020-09-10T12:29:22.982181;false
149;6;2020-09-10T12:20:48.595;48.5088237;15.7468734;24;false;true;5;android;2020-09-10T12:29:22.982869;android;2020-09-10T12:29:22.982869;false
150;3;2020-09-10T12:02:54.039;48.5095404;15.7547223;25;false;true;5;android;2020-09-10T12:29:33.062146;android;2020-09-10T12:29:33.062146;false
151;2;2020-09-10T12:01:17.043;48.5082044;15.7539408;25;false;true;5;android;2020-09-10T12:29:33.063051;android;2020-09-10T12:29:33.063051;false
152;5;2020-09-10T12:14:01.014;48.5107455;15.7507807;25;false;true;5;android;2020-09-10T12:29:33.063721;android;2020-09-10T12:29:33.063721;false
153;0;2020-09-10T11:55:30.711;48.5062285;15.749761;25;false;true;5;android;2020-09-10T12:29:33.064325;android;2020-09-10T12:29:33.064325;false
154;4;2020-09-10T12:06:43.404;48.5099839;15.7532068;25;false;true;5;android;2020-09-10T12:29:33.064878;android;2020-09-10T12:29:33.064878;false
155;1;2020-09-10T11:58:31.019;48.5064032;15.7531819;25;false;true;5;android;2020-09-10T12:29:33.065695;android;2020-09-10T12:29:33.065695;false
156;6;2020-09-10T12:20:48.595;48.5088237;15.7468734;25;false;true;5;android;2020-09-10T12:29:33.066465;android;2020-09-10T12:29:33.066465;false
157;3;2020-09-10T12:02:54.039;48.5095404;15.7547223;26;false;true;5;android;2020-09-10T12:29:43.345842;android;2020-09-10T12:29:43.345842;false
158;2;2020-09-10T12:01:17.043;48.5082044;15.7539408;26;false;true;5;android;2020-09-10T12:29:43.347231;android;2020-09-10T12:29:43.347231;false
159;5;2020-09-10T12:14:01.014;48.5107455;15.7507807;26;false;true;5;android;2020-09-10T12:29:43.348062;android;2020-09-10T12:29:43.348062;false
160;0;2020-09-10T11:55:30.711;48.5062285;15.749761;26;false;true;5;android;2020-09-10T12:29:43.348892;android;2020-09-10T12:29:43.348892;false
161;4;2020-09-10T12:06:43.404;48.5099839;15.7532068;26;false;true;5;android;2020-09-10T12:29:43.349798;android;2020-09-10T12:29:43.349798;false
162;1;2020-09-10T11:58:31.019;48.5064032;15.7531819;26;false;true;5;android;2020-09-10T12:29:43.351164;android;2020-09-10T12:29:43.351164;false
163;6;2020-09-10T12:20:48.595;48.5088237;15.7468734;26;false;true;5;android;2020-09-10T12:29:43.352217;android;2020-09-10T12:29:43.352217;false
